Date,Open,High,Low,Close,Adj Close,Volume
2021-02-10,136.479996,136.990005,134.399994,135.389999,134.590073,73046600
2021-02-11,135.899994,136.389999,133.770004,135.130005,134.331604,64280000
2021-02-12,134.350006,135.529999,133.690002,135.369995,134.570175,60145100
2021-02-16,135.490005,136.009995,132.789993,133.190002,132.403061,80576300
2021-02-17,131.250000,132.220001,129.470001,130.839996,130.066925,97918500
2021-02-18,129.199997,130.000000,127.410004,129.710007,128.943619,96856700
2021-02-19,130.240005,130.710007,128.800003,129.869995,129.102676,87668800
2021-02-22,128.009995,129.720001,125.599998,126.000000,125.255554,103916400
2021-02-23,123.760002,126.709999,118.389999,125.860001,125.116371,158273000
2021-02-24,124.940002,125.559998,122.230003,125.349998,124.609383,111039900
2021-02-25,124.680000,126.459999,120.540001,120.989998,120.275146,148199500
2021-02-26,122.589996,124.849998,121.199997,121.260002,120.543556,164560400
2021-03-01,123.750000,127.930000,122.790001,127.790001,127.034973,116307900
2021-03-02,128.410004,128.720001,125.010002,125.120003,124.380737,102260900
2021-03-03,124.809998,125.709999,121.839996,122.059998,121.338821,112966300
2021-03-04,121.750000,123.599998,118.620003,120.129997,119.420227,178155000
2021-03-05,120.980003,121.940002,117.570000,121.419998,120.702599,153766600
2021-03-08,120.930000,121.000000,116.209999,116.360001,115.672493,154376600
2021-03-09,119.029999,122.059998,118.790001,121.089996,120.374542,129525800
2021-03-10,121.690002,122.169998,119.449997,119.980003,119.271118,111943300
2021-03-11,122.540001,123.209999,121.260002,121.959999,121.239410,103026500
2021-03-12,120.400002,121.169998,119.160004,121.029999,120.314903,88105100
2021-03-15,121.410004,124.000000,120.419998,123.989998,123.257416,92403800
2021-03-16,125.699997,127.220001,124.720001,125.570000,124.828087,115227900
2021-03-17,124.050003,125.860001,122.339996,124.760002,124.022865,111932600
2021-03-18,122.879997,123.180000,120.320000,120.529999,119.817863,121229700
2021-03-19,119.900002,121.430000,119.680000,119.989998,119.281052,185549500
2021-03-22,120.330002,123.870003,120.260002,123.389999,122.660965,111912300
2021-03-23,123.330002,124.239998,122.139999,122.540001,121.815987,95467100
2021-03-24,122.820000,122.900002,120.070000,120.089996,119.380455,88530500
